"Site","TransectDepth","Replicate","Latin","SiteID","SpeciesID","Count","Biomass","Hi_Lo","Site_Richness","Site_Abundance","Site_Biomass"
"McKenzie","15","4","Hexagrammos stelleri ","McKenzie_15_4","McKenzie_15_4_Hexagrammos stelleri ",0,0,"Low",6,14,66.1
"Snake","15","4","Hexagrammos stelleri ","Snake_15_4","Snake_15_4_Hexagrammos stelleri ",0,0,"Low",5,38,10212.97
"Anniversary","3","1","Jordania zonope","Anniversary_3_1","Anniversary_3_1_Jordania zonope",5,7.49,"Low",8,206,2214.53
"Burial","3","1","Jordania zonope","Burial_3_1","Burial_3_1_Jordania zonope",0,0,"High",5,11,6072.13
"Coffin","3","1","Jordania zonope","Coffin_3_1","Coffin_3_1_Jordania zonope",2,9.72,"Low",7,27,84.02
"Dragon","3","1","Jordania zonope","Dragon_3_1","Dragon_3_1_Jordania zonope",0,0,"Low",7,75,766.57
"Georgina","3","1","Jordania zonope","Georgina_3_1","Georgina_3_1_Jordania zonope",0,0,"Low",3,7,9516.84
"Grainger","3","1","Jordania zonope","Grainger_3_1","Grainger_3_1_Jordania zonope",0,0,"High",4,24,943.43
"Josef","3","1","Jordania zonope","Josef_3_1","Josef_3_1_Jordania zonope",0,0,"High",7,78,3728.68
"McKenzie","3","1","Jordania zonope","McKenzie_3_1","McKenzie_3_1_Jordania zonope",0,0,"Low",7,24,3056.39
"Porlier","3","1","Jordania zonope","Porlier_3_1","Porlier_3_1_Jordania zonope",0,0,"High",7,85,5459.05
"Snake","3","1","Jordania zonope","Snake_3_1","Snake_3_1_Jordania zonope",0,0,"Low",1,1,1.86
"Anniversary","15","1","Jordania zonope","Anniversary_15_1","Anniversary_15_1_Jordania zonope",1,1.04,"Low",7,27,1423.05
"Burial","15","1","Jordania zonope","Burial_15_1","Burial_15_1_Jordania zonope",0,0,"High",3,12,45.57
"Coffin","15","1","Jordania zonope","Coffin_15_1","Coffin_15_1_Jordania zonope",1,3.03,"Low",5,16,191.03
"Dragon","15","1","Jordania zonope","Dragon_15_1","Dragon_15_1_Jordania zonope",1,0.52,"Low",7,44,5167.22
"Georgina","15","1","Jordania zonope","Georgina_15_1","Georgina_15_1_Jordania zonope",16,31.66,"Low",7,46,4282.72
"Grainger","15","1","Jordania zonope","Grainger_15_1","Grainger_15_1_Jordania zonope",14,17,"High",8,42,10868.44
"Josef","15","1","Jordania zonope","Josef_15_1","Josef_15_1_Jordania zonope",0,0,"High",6,39,8799.9
"McKenzie","15","1","Jordania zonope","McKenzie_15_1","McKenzie_15_1_Jordania zonope",1,1.86,"Low",6,14,1411.65
"Porlier","15","1","Jordania zonope","Porlier_15_1","Porlier_15_1_Jordania zonope",4,7.61,"High",7,46,8713.67
"Snake","15","1","Jordania zonope","Snake_15_1","Snake_15_1_Jordania zonope",0,0,"Low",3,28,7571.81
"Anniversary","3","2","Jordania zonope","Anniversary_3_2","Anniversary_3_2_Jordania zonope",2,6.47,"Low",5,61,756.36
"Burial","3","2","Jordania zonope","Burial_3_2","Burial_3_2_Jordania zonope",0,0,"High",3,61,375.03
"Coffin","3","2","Jordania zonope","Coffin_3_2","Coffin_3_2_Jordania zonope",0,0,"Low",4,10,17.4
"Dragon","3","2","Jordania zonope","Dragon_3_2","Dragon_3_2_Jordania zonope",0,0,"Low",6,28,305.28
"Georgina","3","2","Jordania zonope","Georgina_3_2","Georgina_3_2_Jordania zonope",0,0,"Low",5,6,4691.88
"Grainger","3","2","Jordania zonope","Grainger_3_2","Grainger_3_2_Jordania zonope",0,0,"High",3,3,92.02
"Josef","3","2","Jordania zonope","Josef_3_2","Josef_3_2_Jordania zonope",0,0,"High",7,43,4102.42
"McKenzie","3","2","Jordania zonope","McKenzie_3_2","McKenzie_3_2_Jordania zonope",2,10.38,"Low",4,17,100.77
"Porlier","3","2","Jordania zonope","Porlier_3_2","Porlier_3_2_Jordania zonope",0,0,"High",3,11,7847.72
"Snake","3","2","Jordania zonope","Snake_3_2","Snake_3_2_Jordania zonope",0,0,"Low",5,21,6263.96
"Anniversary","15","2","Jordania zonope","Anniversary_15_2","Anniversary_15_2_Jordania zonope",0,0,"Low",3,18,151.28
"Burial","15","2","Jordania zonope","Burial_15_2","Burial_15_2_Jordania zonope",2,3.72,"High",4,30,39.61
"Coffin","15","2","Jordania zonope","Coffin_15_2","Coffin_15_2_Jordania zonope",4,6.62,"Low",4,15,393.28
"Dragon","15","2","Jordania zonope","Dragon_15_2","Dragon_15_2_Jordania zonope",1,9.34,"Low",7,266,2677.39
"Georgina","15","2","Jordania zonope","Georgina_15_2","Georgina_15_2_Jordania zonope",14,19.69,"Low",5,37,1010.88
"Grainger","15","2","Jordania zonope","Grainger_15_2","Grainger_15_2_Jordania zonope",4,5.61,"High",5,47,8353.74
"Josef","15","2","Jordania zonope","Josef_15_2","Josef_15_2_Jordania zonope",0,0,"High",7,45,19741.24
"McKenzie","15","2","Jordania zonope","McKenzie_15_2","McKenzie_15_2_Jordania zonope",3,23.51,"Low",8,31,648.39
"Porlier","15","2","Jordania zonope","Porlier_15_2","Porlier_15_2_Jordania zonope",6,20.65,"High",8,91,2369.37
"Snake","15","2","Jordania zonope","Snake_15_2","Snake_15_2_Jordania zonope",0,0,"Low",7,112,6273.52
"Anniversary","3","3","Jordania zonope","Anniversary_3_3","Anniversary_3_3_Jordania zonope",0,0,"Low",3,48,1294.89
"Burial","3","3","Jordania zonope","Burial_3_3","Burial_3_3_Jordania zonope",0,0,"High",3,6,16.09
"Coffin","3","3","Jordania zonope","Coffin_3_3","Coffin_3_3_Jordania zonope",1,1.04,"Low",3,7,6.97
"Dragon","3","3","Jordania zonope","Dragon_3_3","Dragon_3_3_Jordania zonope",1,3.03,"Low",7,28,471.87
"Georgina","3","3","Jordania zonope","Georgina_3_3","Georgina_3_3_Jordania zonope",0,0,"Low",3,3,112.72
"Grainger","3","3","Jordania zonope","Grainger_3_3","Grainger_3_3_Jordania zonope",2,39.66,"High",7,18,3116.84
"Josef","3","3","Jordania zonope","Josef_3_3","Josef_3_3_Jordania zonope",0,0,"High",5,45,1772.58
"McKenzie","3","3","Jordania zonope","McKenzie_3_3","McKenzie_3_3_Jordania zonope",5,10.1,"Low",5,28,130.43
"Porlier","3","3","Jordania zonope","Porlier_3_3","Porlier_3_3_Jordania zonope",0,0,"High",7,24,18165.49
"Snake","3","3","Jordania zonope","Snake_3_3","Snake_3_3_Jordania zonope",0,0,"Low",3,21,1631.16
"Anniversary","15","3","Jordania zonope","Anniversary_15_3","Anniversary_15_3_Jordania zonope",6,7.98,"Low",3,47,9442.15
"Burial","15","3","Jordania zonope","Burial_15_3","Burial_15_3_Jordania zonope",0,0,"High",1,24,11.86
"Coffin","15","3","Jordania zonope","Coffin_15_3","Coffin_15_3_Jordania zonope",4,11.78,"Low",5,32,88.42
"Dragon","15","3","Jordania zonope","Dragon_15_3","Dragon_15_3_Jordania zonope",0,0,"Low",5,72,5875.21
"Georgina","15","3","Jordania zonope","Georgina_15_3","Georgina_15_3_Jordania zonope",23,39.8,"Low",7,58,343.89
"Grainger","15","3","Jordania zonope","Grainger_15_3","Grainger_15_3_Jordania zonope",5,4.98,"High",5,89,2108.31
"Josef","15","3","Jordania zonope","Josef_15_3","Josef_15_3_Jordania zonope",1,4.61,"High",6,41,2123.88
"McKenzie","15","3","Jordania zonope","McKenzie_15_3","McKenzie_15_3_Jordania zonope",2,1.03,"Low",5,22,13815.55
"Porlier","15","3","Jordania zonope","Porlier_15_3","Porlier_15_3_Jordania zonope",4,3.12,"High",8,81,7335.53
"Snake","15","3","Jordania zonope","Snake_15_3","Snake_15_3_Jordania zonope",0,0,"Low",6,50,1202.35
"Burial","3","4","Jordania zonope","Burial_3_4","Burial_3_4_Jordania zonope",0,0,"High",1,10,7.96
"Dragon","3","4","Jordania zonope","Dragon_3_4","Dragon_3_4_Jordania zonope",0,0,"Low",4,14,1149.48
"McKenzie","3","4","Jordania zonope","McKenzie_3_4","McKenzie_3_4_Jordania zonope",5,3.64,"Low",5,24,90.11
"Snake","3","4","Jordania zonope","Snake_3_4","Snake_3_4_Jordania zonope",1,0.52,"Low",5,9,16.36
"Anniversary","15","4","Jordania zonope","Anniversary_15_4","Anniversary_15_4_Jordania zonope",2,6.47,"Low",2,14,44.36
"Burial","15","4","Jordania zonope","Burial_15_4","Burial_15_4_Jordania zonope",2,2.9,"High",4,20,196.44
"Dragon","15","4","Jordania zonope","Dragon_15_4","Dragon_15_4_Jordania zonope",2,4.07,"Low",8,524,2616.28
"McKenzie","15","4","Jordania zonope","McKenzie_15_4","McKenzie_15_4_Jordania zonope",1,1.04,"Low",6,14,66.1
"Snake","15","4","Jordania zonope","Snake_15_4","Snake_15_4_Jordania zonope",3,2.61,"Low",5,38,10212.97
"Anniversary","3","1","Nautichthys oculofasciatus","Anniversary_3_1","Anniversary_3_1_Nautichthys oculofasciatus",0,0,"Low",8,206,2214.53
"Burial","3","1","Nautichthys oculofasciatus","Burial_3_1","Burial_3_1_Nautichthys oculofasciatus",0,0,"High",5,11,6072.13
"Coffin","3","1","Nautichthys oculofasciatus","Coffin_3_1","Coffin_3_1_Nautichthys oculofasciatus",0,0,"Low",7,27,84.02
"Dragon","3","1","Nautichthys oculofasciatus","Dragon_3_1","Dragon_3_1_Nautichthys oculofasciatus",0,0,"Low",7,75,766.57
"Georgina","3","1","Nautichthys oculofasciatus","Georgina_3_1","Georgina_3_1_Nautichthys oculofasciatus",0,0,"Low",3,7,9516.84
"Grainger","3","1","Nautichthys oculofasciatus","Grainger_3_1","Grainger_3_1_Nautichthys oculofasciatus",0,0,"High",4,24,943.43
"Josef","3","1","Nautichthys oculofasciatus","Josef_3_1","Josef_3_1_Nautichthys oculofasciatus",0,0,"High",7,78,3728.68
"McKenzie","3","1","Nautichthys oculofasciatus","McKenzie_3_1","McKenzie_3_1_Nautichthys oculofasciatus",1,1.94,"Low",7,24,3056.39
"Porlier","3","1","Nautichthys oculofasciatus","Porlier_3_1","Porlier_3_1_Nautichthys oculofasciatus",0,0,"High",7,85,5459.05
"Snake","3","1","Nautichthys oculofasciatus","Snake_3_1","Snake_3_1_Nautichthys oculofasciatus",0,0,"Low",1,1,1.86
"Anniversary","15","1","Nautichthys oculofasciatus","Anniversary_15_1","Anniversary_15_1_Nautichthys oculofasciatus",0,0,"Low",7,27,1423.05
"Burial","15","1","Nautichthys oculofasciatus","Burial_15_1","Burial_15_1_Nautichthys oculofasciatus",1,5.89,"High",3,12,45.57
"Coffin","15","1","Nautichthys oculofasciatus","Coffin_15_1","Coffin_15_1_Nautichthys oculofasciatus",0,0,"Low",5,16,191.03
"Dragon","15","1","Nautichthys oculofasciatus","Dragon_15_1","Dragon_15_1_Nautichthys oculofasciatus",0,0,"Low",7,44,5167.22
"Georgina","15","1","Nautichthys oculofasciatus","Georgina_15_1","Georgina_15_1_Nautichthys oculofasciatus",0,0,"Low",7,46,4282.72
"Grainger","15","1","Nautichthys oculofasciatus","Grainger_15_1","Grainger_15_1_Nautichthys oculofasciatus",0,0,"High",8,42,10868.44
"Josef","15","1","Nautichthys oculofasciatus","Josef_15_1","Josef_15_1_Nautichthys oculofasciatus",0,0,"High",6,39,8799.9
"McKenzie","15","1","Nautichthys oculofasciatus","McKenzie_15_1","McKenzie_15_1_Nautichthys oculofasciatus",0,0,"Low",6,14,1411.65
"Porlier","15","1","Nautichthys oculofasciatus","Porlier_15_1","Porlier_15_1_Nautichthys oculofasciatus",0,0,"High",7,46,8713.67
"Snake","15","1","Nautichthys oculofasciatus","Snake_15_1","Snake_15_1_Nautichthys oculofasciatus",0,0,"Low",3,28,7571.81
"Anniversary","3","2","Nautichthys oculofasciatus","Anniversary_3_2","Anniversary_3_2_Nautichthys oculofasciatus",0,0,"Low",5,61,756.36
"Burial","3","2","Nautichthys oculofasciatus","Burial_3_2","Burial_3_2_Nautichthys oculofasciatus",0,0,"High",3,61,375.03
"Coffin","3","2","Nautichthys oculofasciatus","Coffin_3_2","Coffin_3_2_Nautichthys oculofasciatus",0,0,"Low",4,10,17.4
"Dragon","3","2","Nautichthys oculofasciatus","Dragon_3_2","Dragon_3_2_Nautichthys oculofasciatus",0,0,"Low",6,28,305.28
"Georgina","3","2","Nautichthys oculofasciatus","Georgina_3_2","Georgina_3_2_Nautichthys oculofasciatus",0,0,"Low",5,6,4691.88
"Grainger","3","2","Nautichthys oculofasciatus","Grainger_3_2","Grainger_3_2_Nautichthys oculofasciatus",0,0,"High",3,3,92.02
"Josef","3","2","Nautichthys oculofasciatus","Josef_3_2","Josef_3_2_Nautichthys oculofasciatus",0,0,"High",7,43,4102.42
"McKenzie","3","2","Nautichthys oculofasciatus","McKenzie_3_2","McKenzie_3_2_Nautichthys oculofasciatus",0,0,"Low",4,17,100.77
"Porlier","3","2","Nautichthys oculofasciatus","Porlier_3_2","Porlier_3_2_Nautichthys oculofasciatus",0,0,"High",3,11,7847.72
"Snake","3","2","Nautichthys oculofasciatus","Snake_3_2","Snake_3_2_Nautichthys oculofasciatus",0,0,"Low",5,21,6263.96
"Anniversary","15","2","Nautichthys oculofasciatus","Anniversary_15_2","Anniversary_15_2_Nautichthys oculofasciatus",0,0,"Low",3,18,151.28
"Burial","15","2","Nautichthys oculofasciatus","Burial_15_2","Burial_15_2_Nautichthys oculofasciatus",0,0,"High",4,30,39.61
"Coffin","15","2","Nautichthys oculofasciatus","Coffin_15_2","Coffin_15_2_Nautichthys oculofasciatus",0,0,"Low",4,15,393.28
"Dragon","15","2","Nautichthys oculofasciatus","Dragon_15_2","Dragon_15_2_Nautichthys oculofasciatus",0,0,"Low",7,266,2677.39
"Georgina","15","2","Nautichthys oculofasciatus","Georgina_15_2","Georgina_15_2_Nautichthys oculofasciatus",0,0,"Low",5,37,1010.88
"Grainger","15","2","Nautichthys oculofasciatus","Grainger_15_2","Grainger_15_2_Nautichthys oculofasciatus",0,0,"High",5,47,8353.74
"Josef","15","2","Nautichthys oculofasciatus","Josef_15_2","Josef_15_2_Nautichthys oculofasciatus",1,13.31,"High",7,45,19741.24
"McKenzie","15","2","Nautichthys oculofasciatus","McKenzie_15_2","McKenzie_15_2_Nautichthys oculofasciatus",0,0,"Low",8,31,648.39
"Porlier","15","2","Nautichthys oculofasciatus","Porlier_15_2","Porlier_15_2_Nautichthys oculofasciatus",0,0,"High",8,91,2369.37
"Snake","15","2","Nautichthys oculofasciatus","Snake_15_2","Snake_15_2_Nautichthys oculofasciatus",0,0,"Low",7,112,6273.52
"Anniversary","3","3","Nautichthys oculofasciatus","Anniversary_3_3","Anniversary_3_3_Nautichthys oculofasciatus",0,0,"Low",3,48,1294.89
"Burial","3","3","Nautichthys oculofasciatus","Burial_3_3","Burial_3_3_Nautichthys oculofasciatus",0,0,"High",3,6,16.09
"Coffin","3","3","Nautichthys oculofasciatus","Coffin_3_3","Coffin_3_3_Nautichthys oculofasciatus",0,0,"Low",3,7,6.97
"Dragon","3","3","Nautichthys oculofasciatus","Dragon_3_3","Dragon_3_3_Nautichthys oculofasciatus",0,0,"Low",7,28,471.87
"Georgina","3","3","Nautichthys oculofasciatus","Georgina_3_3","Georgina_3_3_Nautichthys oculofasciatus",1,1.2,"Low",3,3,112.72
"Grainger","3","3","Nautichthys oculofasciatus","Grainger_3_3","Grainger_3_3_Nautichthys oculofasciatus",1,0.68,"High",7,18,3116.84
"Josef","3","3","Nautichthys oculofasciatus","Josef_3_3","Josef_3_3_Nautichthys oculofasciatus",0,0,"High",5,45,1772.58
"McKenzie","3","3","Nautichthys oculofasciatus","McKenzie_3_3","McKenzie_3_3_Nautichthys oculofasciatus",0,0,"Low",5,28,130.43
"Porlier","3","3","Nautichthys oculofasciatus","Porlier_3_3","Porlier_3_3_Nautichthys oculofasciatus",0,0,"High",7,24,18165.49
"Snake","3","3","Nautichthys oculofasciatus","Snake_3_3","Snake_3_3_Nautichthys oculofasciatus",0,0,"Low",3,21,1631.16
"Anniversary","15","3","Nautichthys oculofasciatus","Anniversary_15_3","Anniversary_15_3_Nautichthys oculofasciatus",0,0,"Low",3,47,9442.15
"Burial","15","3","Nautichthys oculofasciatus","Burial_15_3","Burial_15_3_Nautichthys oculofasciatus",0,0,"High",1,24,11.86
"Coffin","15","3","Nautichthys oculofasciatus","Coffin_15_3","Coffin_15_3_Nautichthys oculofasciatus",0,0,"Low",5,32,88.42
"Dragon","15","3","Nautichthys oculofasciatus","Dragon_15_3","Dragon_15_3_Nautichthys oculofasciatus",0,0,"Low",5,72,5875.21
"Georgina","15","3","Nautichthys oculofasciatus","Georgina_15_3","Georgina_15_3_Nautichthys oculofasciatus",1,4.24,"Low",7,58,343.89
"Grainger","15","3","Nautichthys oculofasciatus","Grainger_15_3","Grainger_15_3_Nautichthys oculofasciatus",0,0,"High",5,89,2108.31
"Josef","15","3","Nautichthys oculofasciatus","Josef_15_3","Josef_15_3_Nautichthys oculofasciatus",0,0,"High",6,41,2123.88
"McKenzie","15","3","Nautichthys oculofasciatus","McKenzie_15_3","McKenzie_15_3_Nautichthys oculofasciatus",0,0,"Low",5,22,13815.55
"Porlier","15","3","Nautichthys oculofasciatus","Porlier_15_3","Porlier_15_3_Nautichthys oculofasciatus",0,0,"High",8,81,7335.53
"Snake","15","3","Nautichthys oculofasciatus","Snake_15_3","Snake_15_3_Nautichthys oculofasciatus",0,0,"Low",6,50,1202.35
"Burial","3","4","Nautichthys oculofasciatus","Burial_3_4","Burial_3_4_Nautichthys oculofasciatus",0,0,"High",1,10,7.96
"Dragon","3","4","Nautichthys oculofasciatus","Dragon_3_4","Dragon_3_4_Nautichthys oculofasciatus",0,0,"Low",4,14,1149.48
"McKenzie","3","4","Nautichthys oculofasciatus","McKenzie_3_4","McKenzie_3_4_Nautichthys oculofasciatus",0,0,"Low",5,24,90.11
"Snake","3","4","Nautichthys oculofasciatus","Snake_3_4","Snake_3_4_Nautichthys oculofasciatus",0,0,"Low",5,9,16.36
"Anniversary","15","4","Nautichthys oculofasciatus","Anniversary_15_4","Anniversary_15_4_Nautichthys oculofasciatus",0,0,"Low",2,14,44.36
"Burial","15","4","Nautichthys oculofasciatus","Burial_15_4","Burial_15_4_Nautichthys oculofasciatus",0,0,"High",4,20,196.44
"Dragon","15","4","Nautichthys oculofasciatus","Dragon_15_4","Dragon_15_4_Nautichthys oculofasciatus",0,0,"Low",8,524,2616.28
"McKenzie","15","4","Nautichthys oculofasciatus","McKenzie_15_4","McKenzie_15_4_Nautichthys oculofasciatus",0,0,"Low",6,14,66.1
"Snake","15","4","Nautichthys oculofasciatus","Snake_15_4","Snake_15_4_Nautichthys oculofasciatus",0,0,"Low",5,38,10212.97
"Anniversary","3","1","Ophiodon elongatus","Anniversary_3_1","Anniversary_3_1_Ophiodon elongatus",0,0,"Low",8,206,2214.53
"Burial","3","1","Ophiodon elongatus","Burial_3_1","Burial_3_1_Ophiodon elongatus",0,0,"High",5,11,6072.13
"Coffin","3","1","Ophiodon elongatus","Coffin_3_1","Coffin_3_1_Ophiodon elongatus",0,0,"Low",7,27,84.02
"Dragon","3","1","Ophiodon elongatus","Dragon_3_1","Dragon_3_1_Ophiodon elongatus",0,0,"Low",7,75,766.57
"Georgina","3","1","Ophiodon elongatus","Georgina_3_1","Georgina_3_1_Ophiodon elongatus",0,0,"Low",3,7,9516.84
"Grainger","3","1","Ophiodon elongatus","Grainger_3_1","Grainger_3_1_Ophiodon elongatus",0,0,"High",4,24,943.43
"Josef","3","1","Ophiodon elongatus","Josef_3_1","Josef_3_1_Ophiodon elongatus",0,0,"High",7,78,3728.68
"McKenzie","3","1","Ophiodon elongatus","McKenzie_3_1","McKenzie_3_1_Ophiodon elongatus",0,0,"Low",7,24,3056.39
"Porlier","3","1","Ophiodon elongatus","Porlier_3_1","Porlier_3_1_Ophiodon elongatus",0,0,"High",7,85,5459.05
"Snake","3","1","Ophiodon elongatus","Snake_3_1","Snake_3_1_Ophiodon elongatus",0,0,"Low",1,1,1.86
"Anniversary","15","1","Ophiodon elongatus","Anniversary_15_1","Anniversary_15_1_Ophiodon elongatus",0,0,"Low",7,27,1423.05
"Burial","15","1","Ophiodon elongatus","Burial_15_1","Burial_15_1_Ophiodon elongatus",0,0,"High",3,12,45.57
"Coffin","15","1","Ophiodon elongatus","Coffin_15_1","Coffin_15_1_Ophiodon elongatus",0,0,"Low",5,16,191.03
"Dragon","15","1","Ophiodon elongatus","Dragon_15_1","Dragon_15_1_Ophiodon elongatus",0,0,"Low",7,44,5167.22
"Georgina","15","1","Ophiodon elongatus","Georgina_15_1","Georgina_15_1_Ophiodon elongatus",1,976.13,"Low",7,46,4282.72
"Grainger","15","1","Ophiodon elongatus","Grainger_15_1","Grainger_15_1_Ophiodon elongatus",0,0,"High",8,42,10868.44
"Josef","15","1","Ophiodon elongatus","Josef_15_1","Josef_15_1_Ophiodon elongatus",0,0,"High",6,39,8799.9
"McKenzie","15","1","Ophiodon elongatus","McKenzie_15_1","McKenzie_15_1_Ophiodon elongatus",0,0,"Low",6,14,1411.65
"Porlier","15","1","Ophiodon elongatus","Porlier_15_1","Porlier_15_1_Ophiodon elongatus",1,1120.71,"High",7,46,8713.67
"Snake","15","1","Ophiodon elongatus","Snake_15_1","Snake_15_1_Ophiodon elongatus",0,0,"Low",3,28,7571.81
"Anniversary","3","2","Ophiodon elongatus","Anniversary_3_2","Anniversary_3_2_Ophiodon elongatus",0,0,"Low",5,61,756.36
"Burial","3","2","Ophiodon elongatus","Burial_3_2","Burial_3_2_Ophiodon elongatus",0,0,"High",3,61,375.03
"Coffin","3","2","Ophiodon elongatus","Coffin_3_2","Coffin_3_2_Ophiodon elongatus",0,0,"Low",4,10,17.4
"Dragon","3","2","Ophiodon elongatus","Dragon_3_2","Dragon_3_2_Ophiodon elongatus",0,0,"Low",6,28,305.28
"Georgina","3","2","Ophiodon elongatus","Georgina_3_2","Georgina_3_2_Ophiodon elongatus",0,0,"Low",5,6,4691.88
"Grainger","3","2","Ophiodon elongatus","Grainger_3_2","Grainger_3_2_Ophiodon elongatus",0,0,"High",3,3,92.02
"Josef","3","2","Ophiodon elongatus","Josef_3_2","Josef_3_2_Ophiodon elongatus",0,0,"High",7,43,4102.42
"McKenzie","3","2","Ophiodon elongatus","McKenzie_3_2","McKenzie_3_2_Ophiodon elongatus",0,0,"Low",4,17,100.77
"Porlier","3","2","Ophiodon elongatus","Porlier_3_2","Porlier_3_2_Ophiodon elongatus",0,0,"High",3,11,7847.72
"Snake","3","2","Ophiodon elongatus","Snake_3_2","Snake_3_2_Ophiodon elongatus",0,0,"Low",5,21,6263.96
"Anniversary","15","2","Ophiodon elongatus","Anniversary_15_2","Anniversary_15_2_Ophiodon elongatus",0,0,"Low",3,18,151.28
"Burial","15","2","Ophiodon elongatus","Burial_15_2","Burial_15_2_Ophiodon elongatus",0,0,"High",4,30,39.61
"Coffin","15","2","Ophiodon elongatus","Coffin_15_2","Coffin_15_2_Ophiodon elongatus",0,0,"Low",4,15,393.28
"Dragon","15","2","Ophiodon elongatus","Dragon_15_2","Dragon_15_2_Ophiodon elongatus",1,1547.2,"Low",7,266,2677.39
"Georgina","15","2","Ophiodon elongatus","Georgina_15_2","Georgina_15_2_Ophiodon elongatus",1,909.02,"Low",5,37,1010.88
"Grainger","15","2","Ophiodon elongatus","Grainger_15_2","Grainger_15_2_Ophiodon elongatus",0,0,"High",5,47,8353.74
"Josef","15","2","Ophiodon elongatus","Josef_15_2","Josef_15_2_Ophiodon elongatus",0,0,"High",7,45,19741.24
"McKenzie","15","2","Ophiodon elongatus","McKenzie_15_2","McKenzie_15_2_Ophiodon elongatus",0,0,"Low",8,31,648.39
"Porlier","15","2","Ophiodon elongatus","Porlier_15_2","Porlier_15_2_Ophiodon elongatus",2,442.65,"High",8,91,2369.37
"Snake","15","2","Ophiodon elongatus","Snake_15_2","Snake_15_2_Ophiodon elongatus",1,2722.84,"Low",7,112,6273.52
"Anniversary","3","3","Ophiodon elongatus","Anniversary_3_3","Anniversary_3_3_Ophiodon elongatus",0,0,"Low",3,48,1294.89
"Burial","3","3","Ophiodon elongatus","Burial_3_3","Burial_3_3_Ophiodon elongatus",0,0,"High",3,6,16.09
"Coffin","3","3","Ophiodon elongatus","Coffin_3_3","Coffin_3_3_Ophiodon elongatus",0,0,"Low",3,7,6.97
"Dragon","3","3","Ophiodon elongatus","Dragon_3_3","Dragon_3_3_Ophiodon elongatus",0,0,"Low",7,28,471.87
"Georgina","3","3","Ophiodon elongatus","Georgina_3_3","Georgina_3_3_Ophiodon elongatus",0,0,"Low",3,3,112.72
"Grainger","3","3","Ophiodon elongatus","Grainger_3_3","Grainger_3_3_Ophiodon elongatus",0,0,"High",7,18,3116.84
"Josef","3","3","Ophiodon elongatus","Josef_3_3","Josef_3_3_Ophiodon elongatus",0,0,"High",5,45,1772.58
"McKenzie","3","3","Ophiodon elongatus","McKenzie_3_3","McKenzie_3_3_Ophiodon elongatus",0,0,"Low",5,28,130.43
"Porlier","3","3","Ophiodon elongatus","Porlier_3_3","Porlier_3_3_Ophiodon elongatus",0,0,"High",7,24,18165.49
"Snake","3","3","Ophiodon elongatus","Snake_3_3","Snake_3_3_Ophiodon elongatus",0,0,"Low",3,21,1631.16
"Anniversary","15","3","Ophiodon elongatus","Anniversary_15_3","Anniversary_15_3_Ophiodon elongatus",0,0,"Low",3,47,9442.15
"Burial","15","3","Ophiodon elongatus","Burial_15_3","Burial_15_3_Ophiodon elongatus",0,0,"High",1,24,11.86
"Coffin","15","3","Ophiodon elongatus","Coffin_15_3","Coffin_15_3_Ophiodon elongatus",0,0,"Low",5,32,88.42
"Dragon","15","3","Ophiodon elongatus","Dragon_15_3","Dragon_15_3_Ophiodon elongatus",0,0,"Low",5,72,5875.21
"Georgina","15","3","Ophiodon elongatus","Georgina_15_3","Georgina_15_3_Ophiodon elongatus",0,0,"Low",7,58,343.89
"Grainger","15","3","Ophiodon elongatus","Grainger_15_3","Grainger_15_3_Ophiodon elongatus",0,0,"High",5,89,2108.31
"Josef","15","3","Ophiodon elongatus","Josef_15_3","Josef_15_3_Ophiodon elongatus",0,0,"High",6,41,2123.88
"McKenzie","15","3","Ophiodon elongatus","McKenzie_15_3","McKenzie_15_3_Ophiodon elongatus",0,0,"Low",5,22,13815.55
"Porlier","15","3","Ophiodon elongatus","Porlier_15_3","Porlier_15_3_Ophiodon elongatus",0,0,"High",8,81,7335.53
"Snake","15","3","Ophiodon elongatus","Snake_15_3","Snake_15_3_Ophiodon elongatus",1,157.58,"Low",6,50,1202.35
"Burial","3","4","Ophiodon elongatus","Burial_3_4","Burial_3_4_Ophiodon elongatus",0,0,"High",1,10,7.96
"Dragon","3","4","Ophiodon elongatus","Dragon_3_4","Dragon_3_4_Ophiodon elongatus",0,0,"Low",4,14,1149.48
"McKenzie","3","4","Ophiodon elongatus","McKenzie_3_4","McKenzie_3_4_Ophiodon elongatus",0,0,"Low",5,24,90.11
"Snake","3","4","Ophiodon elongatus","Snake_3_4","Snake_3_4_Ophiodon elongatus",0,0,"Low",5,9,16.36
"Anniversary","15","4","Ophiodon elongatus","Anniversary_15_4","Anniversary_15_4_Ophiodon elongatus",0,0,"Low",2,14,44.36
"Burial","15","4","Ophiodon elongatus","Burial_15_4","Burial_15_4_Ophiodon elongatus",0,0,"High",4,20,196.44
"Dragon","15","4","Ophiodon elongatus","Dragon_15_4","Dragon_15_4_Ophiodon elongatus",0,0,"Low",8,524,2616.28
"McKenzie","15","4","Ophiodon elongatus","McKenzie_15_4","McKenzie_15_4_Ophiodon elongatus",0,0,"Low",6,14,66.1
"Snake","15","4","Ophiodon elongatus","Snake_15_4","Snake_15_4_Ophiodon elongatus",1,526.74,"Low",5,38,10212.97
